"","x"
"222",0.00527232040928732
"223",-0.00204056139455006
"224",-0.00333328999472855
"225",0.00193064573057364
"226",-0.00775996711572997
"227",-0.0148282783233131
"228",-0.0112194377061157
"229",0.00313716556978349
"230",0.00172219734011937
"231",0.0118160297569812
"232",0.0114792860786824
"233",-0.0174529217573287
"234",-0.0187653398430602
"235",0.0176472902651914
"236",-0.00186877745125024
"237",-0.00528031747873224
"238",0.0036558136352055
"239",0.0204188024170433
"240",-0.00954222118465876
"241",0.0028766164141127
"242",-0.020505115045713
"243",0.00608480642596329
"244",-0.0178160107203723
"245",-0.00172271217027183
"246",0.00673111402550424
"247",-0.0260797209328934
"248",0.012492262215007
"249",-0.00853877682054953
"250",0.00190123517064069
"251",-0.00886824011957455
"252",-0.0181953221223843
"253",0.00963431843938369
"254",0.00397358998011984
"255",-0.013673647605931
"256",-0.0015669993927905
"257",-0.0037729809011491
"258",-0.015265302002663
"259",0.00664065184496436
"260",0.000669042096339218
"261",-0.0178048479060481
"262",-0.0190106009787311
"263",-0.0252601206864255
"264",-0.000996228752101236
"265",-0.0181448265778358
"266",-0.0141313250748321
"267",0.0237256480867871
"268",0.0172415334483374
"269",0.010831786362191
"270",0.00748658841855953
"271",-0.000608084686351568
"272",-0.0186869164387036
"273",-0.0146653797932469
"274",-0.0180764418793614
"275",0.00870637905026197
"276",-0.000755601738097502
"277",0.0111484680697853
"278",0.00985543329017119
"279",0.000618607448453286
"280",-0.0335066851557075
"281",-0.00209023086226652
"282",-0.0121851742621162
"283",-0.00349359068282127
"284",-0.00189165574675312
"285",-0.0140228125636442
"286",-0.00534926468786501
"287",0.0132213229334379
"288",0.00520630989923571
"289",-0.0244501715749227
"290",-0.0133395995217342
"291",-0.0122485597354074
"292",0.0186992165390537
"293",-0.0118712341619231
"294",0.00167344418035505
"295",-0.000975818284544168
"296",0.00531530639851067
"297",-0.0133110675710027
"298",0.019720878903844
"299",0.0205866007965151
"300",0.00686558129368544
"301",0.00229959120899631
"302",-0.00270255165659699
"303",-0.000787079999985992
"304",-0.00110187169369584
"305",0.00398896377393276
"306",-0.0240840796207767
"307",0.017609910522307
"308",0.00612826774126199
"309",0.0184729358641565
"310",-0.0122860693496736
"311",0.00419541413482046
"312",0.0014371867364374
"313",0.000838453667896895
"314",-0.00744856315533347
"315",0.00345108590473477
"316",-0.00769660171705017
"317",0.012666988201338
"318",0.0135823582372167
"319",0.015410945431388
"320",-0.0157708283911222
"321",-0.000902733800783565
"322",-0.00504428971167488
"323",0.00632697854137747
"324",0.00650172385941871
"325",-0.000380794051010114
"326",-0.00598237833286878
"327",0.00304645951081851
"328",-0.0196970720440494
"329",-0.018734364575395
"330",-0.00244411336383342
"331",0.00158913453505787
"332",-0.00241524858635279
"333",0.0200099546454855
"334",-0.0081094822859802
"335",0.000953266233399839
