"","x"
"410",6.58132527880638e-07
"411",1.78731935148895e-09
"412",1.109753599283e-05
"413",5.27714133200169e-06
"414",2.43908230495548e-05
"415",9.25153494184804e-07
"416",1.25902835420253e-06
"417",1.70629407460937e-05
"418",2.9996940866572e-05
"419",3.29445091173872e-07
"420",8.60100436410943e-05
"421",9.56318134741781e-07
"422",2.12479370883917e-07
"423",1.75646507972886e-05
"424",3.64374387072142e-08
"425",1.10041450284347e-07
"426",1.84078151069858e-06
"427",3.29829310421514e-06
"428",8.0805991268729e-08
"429",1.04317485608403e-05
"430",8.10400439377669e-06
"431",7.16449089131355e-07
"432",7.04968495013244e-06
"433",1.8802082184273e-05
"434",3.77174378514938e-06
"435",5.12525426841077e-06
"436",9.49474687234213e-07
"437",1.10909933263498e-07
"438",1.89156704787191e-07
"439",1.20561467247723e-05
"440",5.55944987967233e-10
"441",3.51480467659713e-07
"442",8.53756137276392e-07
"443",1.24099664156462e-05
"444",1.01780509680732e-05
"445",1.06267858596855e-05
"446",1.28475448834762e-05
"447",0.000172446272164842
"448",5.86110553405334e-06
"449",1.98663116134486e-05
"450",4.68179899701361e-07
"451",2.31243182544942e-06
"452",6.00253037158816e-08
"453",7.49913478279245e-07
"454",4.37991125919613e-07
"455",1.77409462413658e-06
"456",7.68951513619001e-08
"457",2.92541126173515e-06
"458",2.70170649914565e-08
"459",5.49993628448798e-05
"460",1.23165578895689e-07
"461",3.33024358938974e-09
"462",2.54572183312413e-06
"463",6.5762599951302e-07
"464",8.3295639361686e-06
"465",8.82323989127689e-08
"466",2.99774810001716e-06
"467",1.22189095489074e-07
"468",4.62133058030604e-05
"469",5.87633485611085e-06
"470",1.1898340869989e-06
"471",6.27580137365568e-06
"472",1.36524914342954e-05
"473",4.45650285866658e-07
"474",4.98098058637669e-06
"475",3.17871221963509e-05
"476",2.56028728258801e-06
"477",5.62637771154679e-06
"478",6.50697238727368e-06
"479",8.44283211234148e-06
"480",2.75269110148988e-07
"481",6.47638080147134e-07
"482",0.00014151214659075
"483",2.35825353417841e-07
"484",9.35071236279253e-06
"485",9.61118289326657e-07
"486",1.22537773152687e-05
"487",8.22772583821631e-09
"488",2.13959021542966e-06
"489",3.02645907868432e-07
"490",2.55490087728445e-06
"491",4.82225591680298e-05
"492",2.00090875616799e-07
"493",6.53975731415004e-05
"494",3.61722671232161e-07
"495",5.7715361409412e-06
"496",6.27281724887652e-10
"497",1.8349636155772e-08
"498",1.99775469638449e-06
"499",3.96682421849048e-06
"500",4.06336105045704e-07
"501",3.2763651359962e-07
"502",2.20636667799288e-05
"503",2.62858429765019e-05
"504",6.42004176757155e-06
"505",4.50905149703997e-09
"506",6.22004403304118e-06
"507",3.73425439187661e-07
"508",3.5120999691981e-06
"509",1.64326026400587e-08
